year,month,temp,ward
2014,Jan,19.5763206,Tunduma
2014,Jan,24.36117915,Administrative unit not available
2014,Feb,21.97769685,Mbarali
2014,Feb,18.87136765,Mbeya Rural
2014,Feb,20.04049653,Mbozi
2014,Feb,21.37594342,Momba
2014,Feb,21.20082369,Chunya
2014,Feb,19.73194195,Ileje
2014,Feb,23.54012299,Kyela
2014,Feb,18.05050342,Mbeya Urban
2014,Feb,20.19187507,Rungwe
2014,Feb,19.37381832,Tunduma
2014,Feb,24.4686538,Administrative unit not available
2014,Mar,21.99733255,Mbarali
2014,Mar,18.91276522,Mbeya Rural
2014,Mar,20.20507632,Mbozi
2014,Mar,21.53087082,Momba
2014,Mar,21.38664623,Chunya
2014,Mar,19.076175,Ileje
2014,Mar,22.05737004,Kyela
2014,Mar,18.06631862,Mbeya Urban
2014,Mar,19.18112767,Rungwe
2014,Mar,19.36111403,Tunduma
2014,Mar,24.66421702,Administrative unit not available
2014,Apr,21.01341047,Mbarali
2014,Apr,18.19152417,Mbeya Rural
2014,Apr,19.62482401,Mbozi
2014,Apr,20.95672124,Momba
2014,Apr,20.74355662,Chunya
2014,Apr,18.2241011,Ileje
2014,Apr,21.17089295,Kyela
2014,Apr,17.34878067,Mbeya Urban
2014,Apr,18.21382107,Rungwe
2014,Apr,18.83121473,Tunduma
2014,Apr,24.32125689,Administrative unit not available
2014,May,21.43893974,Mbarali
2014,May,18.05912254,Mbeya Rural
2014,May,19.5688449,Mbozi
2014,May,21.35487573,Momba
2014,May,21.7863546,Chunya
2014,May,17.15497872,Ileje
2014,May,20.16586684,Kyela
2014,May,17.30345525,Mbeya Urban
2014,May,17.07799529,Rungwe
2014,May,18.36156959,Tunduma
2014,May,24.90734338,Administrative unit not available
2014,Jun,20.38033978,Mbarali
2014,Jun,16.8981407,Mbeya Rural
2014,Jun,18.67260372,Mbozi
2014,Jun,20.31260179,Momba
2014,Jun,20.95954908,Chunya
2014,Jun,15.66427993,Ileje
2014,Jun,18.60687205,Kyela
2014,Jun,16.17577434,Mbeya Urban
2014,Jun,15.61307732,Rungwe
2014,Jun,17.29600403,Tunduma
2014,Jun,23.57650175,Administrative unit not available
2014,Jul,19.89394402,Mbarali
2014,Jul,16.56078339,Mbeya Rural
2014,Jul,18.30738022,Mbozi
2014,Jul,20.00759532,Momba
2014,Jul,20.61146192,Chunya
2014,Jul,14.99956565,Ileje
2014,Jul,17.82322154,Kyela
2014,Jul,15.98677129,Mbeya Urban
2014,Jul,14.96429425,Rungwe
2014,Jul,16.85580239,Tunduma
2014,Jul,22.90168259,Administrative unit not available
2014,Aug,21.56018473,Mbarali
2014,Aug,18.39465863,Mbeya Rural
2014,Aug,20.37599472,Mbozi
2014,Aug,22.18425066,Momba
2014,Aug,22.36473304,Chunya
2014,Aug,17.25557768,Ileje
2014,Aug,19.94153433,Kyela
2014,Aug,17.71540296,Mbeya Urban
2014,Aug,16.93115196,Rungwe
2014,Aug,19.08342407,Tunduma
2014,Aug,24.58226995,Administrative unit not available
2014,Sep,22.43002602,Mbarali
2014,Sep,19.35886708,Mbeya Rural
2014,Sep,21.4485859,Mbozi
2014,Sep,23.44085378,Momba
2014,Sep,23.48840052,Chunya
2014,Sep,18.08965214,Ileje
2014,Sep,20.76365678,Kyela
2014,Sep,18.67005746,Mbeya Urban
2014,Sep,17.67765806,Rungwe
2014,Sep,20.08775375,Tunduma
2014,Sep,25.80475484,Administrative unit not available
2014,Oct,23.7454772,Mbarali
2014,Oct,20.72197069,Mbeya Rural
2014,Oct,22.78802181,Mbozi
2014,Oct,24.58984781,Momba
2014,Oct,24.22016573,Chunya
2014,Oct,20.4292489,Ileje
2014,Oct,23.07640956,Kyela
2014,Oct,19.84842424,Mbeya Urban
2014,Oct,20.05042742,Rungwe
2014,Oct,22.13837494,Tunduma
2014,Oct,26.86065179,Administrative unit not available
2014,Nov,24.51252144,Mbarali
2014,Nov,20.69394807,Mbeya Rural
2014,Nov,22.96526228,Mbozi
2014,Nov,24.88165953,Momba
2014,Nov,24.63429238,Chunya
2014,Nov,20.88678347,Ileje
2014,Nov,23.89195146,Kyela
2014,Nov,19.63833354,Mbeya Urban
2014,Nov,20.31682458,Rungwe
2014,Nov,22.20511055,Tunduma
2014,Nov,27.24601472,Administrative unit not available
2014,Dec,22.79428784,Mbarali
2014,Dec,19.58896999,Mbeya Rural
2014,Dec,21.15802109,Mbozi
2014,Dec,22.69447261,Momba
2014,Dec,22.0348616,Chunya
2014,Dec,20.30323613,Ileje
2014,Dec,23.82268636,Kyela
2014,Dec,18.63921082,Mbeya Urban
2014,Dec,20.45764861,Rungwe
2014,Dec,20.50027693,Tunduma
2014,Dec,25.1534165,Administrative unit not available
2015,Jan,21.59150108,Mbarali
2015,Jan,18.89302821,Mbeya Rural
2015,Jan,20.01230171,Mbozi
2015,Jan,21.35381821,Momba
2015,Jan,21.20179364,Chunya
